"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",0.913999652035325,0.00101992902844433,0,"relative convergence (4)",77.5682697479188,79.9682697479188,8,"FULL",0.4,6,0.122351713141786,163.463179112361
"llog",0.897143315069117,4.55058986387706,0,"relative convergence (4)",95.125592949834,96.8398786641197,10,"FULL",0.6,6,0.515204787462735,32.3495958738003
"norm",29.4080782287196,15.2782905841881,0,"relative convergence (4)",101.723070256102,102.813979347011,14,"RP",0.7,6,0.0759007688061055,263.50194226743
"gamma",1.4151883491023,0.0457532743184111,0,"relative convergence (4)",77.3216596422175,78.5216596422175,13,"RP",0.9,6,0.156435732483917,92.3346873191485
"gamma",1.32553088585774,0.00941347374777783,0,"relative convergence (4)",141.88031112505,142.88031112505,15,"FULL",0.4,7,0.470837646841066,79.6452880341966
"gamma",1.01842495218851,0.00260227859006311,0,"relative convergence (4)",96.0668925224688,97.7811782367545,10,"FULL",0.6,7,0.221485515761712,75.2494654530715
"norm",32.8146242967802,27.2815996868161,0,"relative convergence (4)",123.405109219757,124.205109219757,18,"RP",0.7,7,0.0796313276737591,322.916702075273
"llog",0.524633540114671,3.28633034580379,0,"relative convergence (4)",76.0412180663785,77.5412180663785,11,"RP",0.9,7,0.102133850799529,119.668671322423
"gamma",2.74401513093384,0.0851016816562934,0,"relative convergence (4)",63.072776976859,66.072776976859,7,"FULL",0.4,8,0.993560480663221,17.6134219713715
"norm",-24.3982889498123,89.7752237976585,0,"relative convergence (4)",68.0089976289097,71.0089976289097,7,"FULL",0.6,8,0.309974335444206,37.6375245710192
"llog",0.764930072667731,2.95911041648882,0,"relative convergence (4)",86.1162349456099,87.0393118686868,16,"RP",0.7,8,0.22369336470327,102.180692250139
"weibull",1.87006121173051,19.4908248525525,0,"relative convergence (4)",61.4988515983457,63.2131373126314,10,"RP",0.9,8,0.174672036358577,63.6112759818151
"llog",0.443708160556537,3.81339360910479,0,"relative convergence (4)",137.969625702884,138.969625702884,15,"FULL",0.4,9,0.856245911392274,43.7958295637572
"norm",11.0451281670639,18.5453260184934,0,"relative convergence (4)",42.7917658334796,48.7917658334796,5,"FULL",0.6,9,0.724269523373817,11.5058456339771
"weibull",1.58176377045265,28.2622218721291,0,"relative convergence (4)",146.760680865408,147.392259812776,22,"RP",0.7,9,0.135742785350994,231.530326619612
NA,NA,NA,1,"false convergence (8)",68.5404031514503,70.5404031514503,9,"RP",0.9,9,NA,NA
"gamma",2.3197290843678,0.046074858381528,0,"relative convergence (4)",129.658174648901,130.74908373981,14,"FULL",0.4,10,0.917255182442674,38.1573205253462
"gamma",2.26009267139173,0.0402280421395071,0,"relative convergence (4)",67.2181602346648,70.2181602346648,7,"FULL",0.6,10,0.87920966357501,13.2694932164736
"weibull",1.58379590672608,34.7559467125058,0,"relative convergence (4)",171.965517723769,172.487256854204,26,"RP",0.7,10,0.106135220163644,349.957884720912
"norm",20.2607032466781,9.74815276992994,0,"relative convergence (4)",84.5991479352456,85.7991479352456,13,"RP",0.9,10,0.108920031100216,132.615133309633
"gamma",5.53427335429289,0.121032727605075,0,"relative convergence (4)",89.3281429598022,91.0424286740879,10,"FULL",0.4,11,0.987700976806867,25.3113043188662
"weibull",3.67769673220244,58.7389323847004,0,"relative convergence (4)",87.7299270740777,89.4442127883634,10,"FULL",0.6,11,0.999155294816682,16.6807569885566
