"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",1.520522758685,0.0186845267762682,0,"relative convergence (4)",343.579285552384,343.845952219051,48,"RP",0.9,15,0.0475938257692783,1120.59353227619
"llog",0.794254723776162,4.31070787788831,0,"relative convergence (4)",468.714583035354,468.964583035354,51,"FULL",0.4,16,0.591637871260384,215.503445931179
"weibull",1.83660379742488,44.3122673726884,0,"relative convergence (4)",293.940706535693,294.340706535693,33,"FULL",0.6,16,0.988421069868695,55.644301479031
"norm",41.7068158888384,32.5235485040126,0,"relative convergence (4)",425.866859347447,426.070249177955,62,"RP",0.7,16,0.0627656451346377,1411.14503613299
"weibull",1.92047683313986,40.7736206786471,0,"relative convergence (4)",329.776607588627,330.08429989632,42,"RP",0.9,16,0.0641881787577589,727.028988355987
"norm",37.7176188755132,27.8584379194154,0,"relative convergence (4)",505.671685414065,505.898100508404,56,"FULL",0.4,17,0.899429743463744,155.654180904507
"norm",33.6314156497768,25.0821867271858,0,"relative convergence (4)",303.513915113603,303.901011887796,34,"FULL",0.6,17,0.90594324371497,62.5499081314362
"weibull",1.34785869471262,48.9404577527949,0,"relative convergence (4)",421.371853302495,421.565401689592,65,"RP",0.7,17,0.0933055638872718,995.194059052355
"gamma",1.13605278468563,0.00772646427919465,0,"relative convergence (4)",310.201938588501,310.474665861228,47,"RP",0.9,17,0.0430257832728691,1213.74251088073
"gamma",2.23397028900276,0.0551368809779637,0,"relative convergence (4)",568.232692331571,568.429413643046,64,"FULL",0.4,18,0.963626686931677,166.039403194055
"norm",35.8174803057352,18.9220475566237,0,"relative convergence (4)",293.821404606862,294.208501381055,34,"FULL",0.6,18,0.970467198619922,58.3911200164735
"norm",34.7430774346762,21.3331104446518,0,"relative convergence (4)",549.35653844438,549.514433181222,79,"RP",0.7,18,0.0709541518379776,1590.56432828413
"norm",34.8610478463242,18.3789789424544,0,"relative convergence (4)",314.391277642726,314.691277642726,43,"RP",0.9,18,0.0638417248772145,748.378554458981
"weibull",1.91006935797893,46.3134737015493,0,"relative convergence (4)",454.172927877518,454.422927877518,51,"FULL",0.4,19,0.987097437375568,129.166579885962
"norm",40.0876982791508,30.1476261509064,0,"relative convergence (4)",347.2562717914,347.599128934257,38,"FULL",0.6,19,0.884748898094098,71.5833989392519
"gamma",1.69747832045307,0.037138028862055,0,"relative convergence (4)",559.766515913392,559.912857376806,85,"RP",0.7,19,0.0810050168123735,1499.02532221959
"llog",0.805190336025449,4.95038347301688,0,"relative convergence (4)",282.558359824695,282.88268414902,40,"RP",0.9,19,0.0319498977511589,1391.06687572521
"norm",43.1499777191277,20.49651233135,0,"relative convergence (4)",448.699755807038,448.949755807038,51,"FULL",0.4,20,0.979592959331896,130.156100843107
