"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"norm",33.2020013632515,27.2456453203112,0,"relative convergence (4)",1007.17894741808,1007.28803832717,113,"FULL",0.4,5,0.881395900801478,320.514311154743
"norm",23.8797329197881,40.1057197383565,0,"relative convergence (4)",825.578822239503,825.715185875867,91,"FULL",0.6,5,0.695369817496031,218.109361163827
"gamma",1.54468697283486,0.0340897007123831,0,"relative convergence (4)",1386.9059685155,1386.96311137264,213,"RP",0.7,5,0.0928846260161309,3275.95348484119
"llog",0.652987252097415,4.13290872594105,0,"relative convergence (4)",669.878651116167,670.00496690564,98,"RP",0.9,5,0.0507857372992484,2144.08404169216
"norm",36.3748640835945,29.8087222864089,0,"relative convergence (4)",1298.4712095689,1298.55631595188,144,"FULL",0.4,6,0.87241673370438,412.646830456128
"weibull",1.71500910499769,44.2495349526247,0,"relative convergence (4)",763.775331860781,763.919910174033,86,"FULL",0.6,6,0.982547509792973,145.879290217258
"llog",0.616255374011854,3.97170244827517,0,"relative convergence (4)",1254.1066219092,1254.17292025175,184,"RP",0.7,6,0.0553474970388232,4749.21463336929
"gamma",1.39916771112469,0.0226140890812841,0,"relative convergence (4)",613.522779524842,613.65464765671,94,"RP",0.9,6,0.0751572519487999,1389.67886313348
"norm",34.6270330473353,36.9731545886692,0,"relative convergence (4)",1248.66335698533,1248.75290922414,137,"FULL",0.4,7,0.786983303693431,435.206183400075
"norm",36.8126232113772,24.9425965550832,0,"relative convergence (4)",756.691235242781,756.837576706195,85,"FULL",0.6,7,0.924364277610181,153.258482719526
"weibull",1.44504329253879,48.8085256412628,0,"relative convergence (4)",1152.52388239232,1152.59531096375,171,"RP",0.7,7,0.083030420887,2942.12303967692
"gamma",1.63161822601125,0.0371543179204077,0,"relative convergence (4)",613.274424842611,613.406292974479,94,"RP",0.9,7,0.0895957701160141,1165.72963555314
"weibull",1.81876720313541,46.8661890773189,0,"relative convergence (4)",1148.37799176228,1148.47322985752,129,"FULL",0.4,8,0.981098806615486,328.71306929068
"llog",0.500050726348064,3.97951942656709,0,"relative convergence (4)",871.67393646403,871.802968722094,96,"FULL",0.6,8,0.777503121026906,205.786955284085
"weibull",1.43229894963532,42.7386764595234,0,"both X-convergence and relative convergence (5)",1167.38078035104,1167.44857696121,180,"RP",0.7,8,0.0979911185039059,2624.14452522661
"llog",0.650479452120314,4.06070891961234,0,"relative convergence (4)",673.185479930608,673.311795720081,98,"RP",0.9,8,0.055007753798139,1979.51891088803
"norm",37.3353781473112,29.2661751979561,0,"relative convergence (4)",1289.31710972595,1289.40282401167,143,"FULL",0.4,9,0.882843226521784,404.941658111231
"weibull",1.92227616819586,50.6758721128011,0,"relative convergence (4)",806.780856905891,806.918787940374,90,"FULL",0.6,9,0.97511851769234,153.827455102567
"gamma",1.30947793905201,0.0143096525347121,0,"relative convergence (4)",1333.34433769964,1333.40556218944,199,"RP",0.7,9,0.0541939980749588,5245.70477144909
"llog",0.731844652098819,4.72323609901208,0,"relative convergence (4)",632.081069843224,632.222246313812,88,"RP",0.9,9,0.0323377761681228,3023.63951279256
"llog",0.53752508930408,3.79548264065947,0,"relative convergence (4)",1322.72195073213,1322.80528406546,147,"FULL",0.4,10,0.818515951312019,448.983308646491
"gamma",1.58261682688545,0.0389132737855577,0,"relative convergence (4)",695.763086936075,695.923086936075,78,"FULL",0.6,10,0.942515686273648,137.928738898735
"gamma",1.41181841302931,0.0162944463399327,0,"relative convergence (4)",1512.54728480275,1512.60309875623,218,"RP",0.7,10,0.0503605789910384,6183.97519782269
"gamma",1.35125103839955,0.0138146764427129,0,"relative convergence (4)",692.795537270826,692.917986250418,101,"RP",0.9,10,0.0474178206424371,2366.66765156616
"norm",40.2757277232399,27.9866758436342,0,"relative convergence (4)",1217.50282126549,1217.5937303564,135,"FULL",0.4,11,0.908519064913175,371.483673853618
"norm",19.7916411721374,42.8958336152403,0,"relative convergence (4)",789.436104160999,789.578961303856,87,"FULL",0.6,11,0.646987024879465,224.115777324922
"norm",38.0797703736594,26.3506620383103,0,"relative convergence (4)",1362.45564814015,1362.51914020365,192,"RP",0.7,11,0.0675900826853062,4058.07632404839
"gamma",1.5554115977672,0.0300409348891332,0,"relative convergence (4)",628.845205664852,628.975640447461,95,"RP",0.9,11,0.0788204523814085,1339.18992300091
"weibull",1.5745139265456,48.4657961368323,0,"relative convergence (4)",1251.82048307489,1251.90871836901,139,"FULL",0.4,12,0.956200887267384,363.417357824338
"norm",41.1267964556926,28.3447540244322,0,"relative convergence (4)",814.438840940707,814.57677197519,90,"FULL",0.6,12,0.907704080078413,165.252094038227
"weibull",1.42454665511627,39.5901889615062,0,"relative convergence (4)",1122.03563252135,1122.10459803859,177,"RP",0.7,12,0.107690881476025,2347.99027913459
"norm",34.5355026916351,20.2182520474539,0,"relative convergence (4)",779.159579230412,779.270690341523,111,"RP",0.9,12,0.06954493408822,1773.43375114686
"norm",35.9766277045755,28.6626743215093,0,"relative convergence (4)",1213.28100328666,1213.37191237757,135,"FULL",0.4,13,0.882540179887103,382.418849239446
"gamma",1.9494362361008,0.0428673907136851,0,"relative convergence (4)",772.911906913737,773.05648522699,86,"FULL",0.6,13,0.931844984754824,153.816713807872
"gamma",1.36757832588319,0.0163752559682305,0,"relative convergence (4)",1208.78656512422,1208.85553064146,177,"RP",0.7,13,0.0556017624485115,4547.6461846204
"llog",0.730250789507983,3.90586108940617,0,"relative convergence (4)",686.763763125684,686.876970672854,109,"RP",0.9,13,0.0814370099126575,1487.17531796667
