"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.60464011547725,3.87523282113579,0,"relative convergence (4)",328.873425682256,329.237062045892,36,"FULL",0.6,7,0.769807782091388,77.9415347516935
"gamma",1.87108829734909,0.0513127908342653,0,"relative convergence (4)",446.157703469535,446.339521651353,69,"RP",0.7,7,0.0944255620274705,1043.90618869445
"gamma",2.0495890265033,0.0709432619021883,0,"relative convergence (4)",270.309801090992,270.609801090992,43,"RP",0.9,7,0.114321138990455,417.926012631548
"weibull",1.54377629786927,47.0697194768672,0,"relative convergence (4)",478.176476988494,478.416476988494,53,"FULL",0.4,8,0.959256945273593,138.127746327872
"gamma",1.84340210246647,0.0362257835460559,0,"relative convergence (4)",319.571965621765,319.946965621765,35,"FULL",0.6,8,0.897315271679322,65.0087379257045
"weibull",1.53890073457142,44.7936733449037,0,"relative convergence (4)",395.454465148623,395.676687370845,57,"RP",0.7,8,0.082385534394767,988.384332598851
"gamma",1.68455902943255,0.0219636845221563,0,"relative convergence (4)",256.239502014243,256.614502014243,35,"RP",0.9,8,0.0429663935426395,905.100141818881
"weibull",1.66321423672775,47.4114200639919,0,"relative convergence (4)",369.891893951741,370.207683425425,41,"FULL",0.4,9,0.968570230649983,105.826089586931
"gamma",1.48213903898441,0.0280039751654339,0,"relative convergence (4)",311.323407066271,311.710503840464,34,"FULL",0.6,9,0.870327287549919,65.1096058658467
"gamma",1.66063161698205,0.0206376166270445,0,"relative convergence (4)",512.284066494474,512.463170972086,70,"RP",0.7,9,0.0413980808176167,2415.57091596975
"weibull",1.68330414641421,31.8266821010201,0,"relative convergence (4)",262.920672206073,263.244996530397,40,"RP",0.9,9,0.107669956913263,412.784083124025
"weibull",1.46381201711555,45.5815372419251,0,"relative convergence (4)",433.139062173642,433.405728840308,48,"FULL",0.4,10,0.957506842093609,125.325475207694
"weibull",2.07669946133665,53.8877807616825,0,"relative convergence (4)",280.461764150463,280.890335579034,31,"FULL",0.6,10,0.972972149742923,53.1018967812367
"gamma",1.90557293688378,0.0417700716975833,0,"relative convergence (4)",490.815538459022,490.992009047257,71,"RP",0.7,10,0.0694501045630869,1460.45239336445
"weibull",1.44228939503889,50.2972172414347,0,"relative convergence (4)",262.697834085651,263.040691228508,38,"RP",0.9,10,0.0804854588971717,524.594414950971
"gamma",1.27232353349463,0.0112913019717671,0,"relative convergence (4)",591.9758312154,592.172552526876,64,"FULL",0.4,11,0.567272338331598,282.051475435194
"llog",0.523682427830694,3.31622304966272,0,"relative convergence (4)",279.138182699826,279.551975803274,32,"FULL",0.6,11,0.921384928742929,57.8838785718988
"gamma",2.15526872754172,0.055555277419193,0,"relative convergence (4)",411.639500079004,411.85378579329,59,"RP",0.7,11,0.0731993472370566,1151.45445235672
"gamma",1.35211196545805,0.0136342305288701,0,"relative convergence (4)",161.060075483969,161.631504055398,24,"RP",0.9,11,0.0466146988583924,572.065621354232
"gamma",2.06345288352834,0.0333094674730149,0,"relative convergence (4)",557.699897200955,557.906793752679,61,"FULL",0.4,12,0.834476077631953,182.749397002199
"llog",0.606380422507458,3.7436184670349,0,"relative convergence (4)",326.45928860283,326.822924966466,36,"FULL",0.6,12,0.805465458110111,74.4910900844586
"weibull",1.76155255805521,40.6760662260417,0,"relative convergence (4)",512.407642897462,512.57907146889,73,"RP",0.7,12,0.0740054581763512,1409.16247065462
"llog",0.6322588203759,3.77693428108533,0,"relative convergence (4)",227.238608317067,227.613608317067,35,"RP",0.9,12,0.0735201974196879,528.955174955432
"llog",0.432482191757362,3.61407648268357,0,"relative convergence (4)",434.835020021074,435.095889586291,49,"FULL",0.4,13,0.908182337817879,134.884807707596
"norm",34.6896431230198,32.1205493742621,0,"relative convergence (4)",292.528542469968,292.942335573416,32,"FULL",0.6,13,0.838913424597339,63.5742995279069
"weibull",1.64688635396412,38.5994075009276,0,"relative convergence (4)",360.07690965908,360.312203776727,54,"RP",0.7,13,0.0880360934693982,876.263974271784
"gamma",2.68285379376348,0.1014805157549,0,"relative convergence (4)",266.063950969191,266.379740442875,41,"RP",0.9,13,0.097132108069638,469.006144939168
"llog",0.404158478064466,3.67529369429198,0,"relative convergence (4)",460.935793065989,461.180691025173,52,"FULL",0.4,14,0.908940951785643,143.023592175719
"llog",0.650062448311691,3.61815199040971,0,"relative convergence (4)",297.316080434957,297.716080434957,33,"FULL",0.6,14,0.820294446280535,67.0490946871416
"weibull",1.8730130536094,33.1741833149753,0,"X-convergence (3)",390.120750264176,390.347165358515,56,"RP",0.7,14,0.0870119403742569,919.414044278325
"llog",0.551763750146807,3.2471553463535,0,"relative convergence (4)",221.588938883514,221.95257524715,36,"RP",0.9,14,0.115007460767318,347.803522772557
"llog",0.917956925906555,12.6939912392335,0,"relative convergence (4)",475.300534851912,475.535828969559,54,"FULL",0.4,15,0.000148947847279906,906357.510131081
"norm",27.1881363193746,41.1577767046408,0,"relative convergence (4)",312.41994869797,312.807045472163,34,"FULL",0.6,15,0.707120858982377,80.137173082712
"gamma",1.88187252734262,0.0422520563322836,0,"relative convergence (4)",460.825297646587,461.009913031202,68,"RP",0.7,15,0.0728248812893355,1333.92400266202
"gamma",2.04929128334793,0.0641593303702331,0,"relative convergence (4)",259.713137364706,260.03746168903,40,"RP",0.9,15,0.100415085066352,442.607247856003
"gamma",1.61807065082665,0.0258383869114839,0,"relative convergence (4)",368.184091334289,368.508415658614,40,"FULL",0.4,16,0.81595671451186,122.555520680805
"weibull",1.13611117031504,48.7547860445893,0,"relative convergence (4)",380.256732746468,380.56442505416,42,"FULL",0.6,16,0.895833315712253,78.139536420729
"weibull",1.54293910646785,47.9255206698175,0,"relative convergence (4)",335.237718312584,335.49303746152,50,"RP",0.7,16,0.0757106451308512,943.441590084471
"weibull",1.86573637835874,22.6198652178981,0,"relative convergence (4)",227.298477176329,227.641334319186,38,"RP",0.9,16,0.144006490020089,293.196662291625
"llog",0.709541323251981,3.91758786809321,0,"relative convergence (4)",527.051657738015,527.269839556197,58,"FULL",0.4,17,0.724930467100252,200.01918332941
"norm",37.6152642138599,20.4800609626278,0,"relative convergence (4)",263.632271613998,264.076716058442,30,"FULL",0.6,17,0.965712155837684,51.7752621189993
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA
"llog",0.535280227265929,3.47274554137411,0,"relative convergence (4)",227.50335859623,227.890455370424,34,"RP",0.9,17,0.0823293063960454,458.861849218644
"llog",0.48304671574157,3.73927416844712,0,"relative convergence (4)",405.22348504007,405.509199325784,45,"FULL",0.4,18,0.857242321891053,131.234771227613
"llog",0.558779550886344,3.57002148375627,0,"relative convergence (4)",251.905110411655,252.385110411655,28,"FULL",0.6,18,0.864422374679108,53.9859541280272
"gamma",2.2018995204323,0.0762520452870023,0,"relative convergence (4)",583.06364765149,583.201578685973,90,"RP",0.7,18,0.105867126770901,1214.46035698749
"gamma",1.59231016365464,0.0181248059196661,0,"relative convergence (4)",242.948402007391,243.335498781584,34,"RP",0.9,18,0.0398601053683275,947.759104716157
"gamma",1.82641796177143,0.0285592099524744,0,"relative convergence (4)",531.903115575198,532.12129739338,58,"FULL",0.4,19,0.813905609957633,178.153336487689
"norm",19.6399295908337,37.5857277266471,0,"relative convergence (4)",245.259105626402,245.759105626402,27,"FULL",0.6,19,0.683095273740706,65.8766086223594
"gamma",1.51782520687869,0.02146382578324,0,"relative convergence (4)",412.407653118431,412.621938832717,59,"RP",0.7,19,0.0565739380351891,1489.83290209157
