"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.380051350711243,3.36719176998883,0,"relative convergence (4)",290.641540554937,291.028637329131,34,"FULL",0.6,4,0.962938032540573,58.8476773704325
"gamma",2.26642128417132,0.0564754603737016,0,"relative convergence (4)",478.043631191801,478.234107382277,66,"RP",0.7,4,0.0656993345927015,1435.10912051442
"llog",0.455589758388796,3.35731187799047,0,"relative convergence (4)",245.615050439852,245.978686803488,36,"RP",0.9,4,0.076016539686276,526.201273631791
"norm",34.5915682586761,22.3209619733284,0,"relative convergence (4)",439.244309315869,439.499628464805,50,"FULL",0.4,5,0.937704538377625,133.304249776022
"norm",24.2739448636199,26.0460167873484,0,"relative convergence (4)",289.56370818735,289.96370818735,33,"FULL",0.6,5,0.822500119688057,66.8692911812091
"gamma",2.31363501907003,0.0857882084772601,0,"relative convergence (4)",376.550552056014,376.761078371803,60,"RP",0.7,5,0.110144487287953,778.198599174567
"gamma",2.68247826668924,0.0837896970459584,0,"relative convergence (4)",287.504248288462,287.820037762146,41,"RP",0.9,5,0.0737802936571647,617.448824034759
"llog",0.546098277769256,3.85448149715661,0,"relative convergence (4)",481.337264542593,481.577264542593,53,"FULL",0.4,6,0.798128825969923,166.013299718852
"llog",0.527702090836712,3.25992066161813,0,"relative convergence (4)",311.274414403229,311.638050766866,36,"FULL",0.6,6,0.927523745848119,64.6883708029885
"gamma",2.56791807139937,0.0922935089656746,0,"relative convergence (4)",415.595514789699,415.789063176796,65,"RP",0.7,6,0.0944893028514856,982.726510355272
"llog",0.580462956134491,3.43710815203953,0,"relative convergence (4)",208.720420596604,209.120420596604,33,"RP",0.9,6,0.0972169815133958,377.163187910893
"weibull",1.86066121602383,43.0002654485068,0,"relative convergence (4)",546.498211021249,546.701600851758,62,"FULL",0.4,7,0.991837778739738,156.275555662891
"norm",30.9219073647709,25.2077346912598,0,"relative convergence (4)",284.431176550138,284.844969653587,32,"FULL",0.6,7,0.886960516991836,60.1304480995564
"gamma",2.22120642951082,0.0487406549844666,0,"relative convergence (4)",478.120409914397,478.313958301493,65,"RP",0.7,7,0.056744279360269,1636.4141708029
"llog",0.42736567618864,3.18970612821943,0,"relative convergence (4)",266.316381403936,266.63217087762,41,"RP",0.9,7,0.08852836356807,514.587118969251
"weibull",1.68453366087934,42.2247590072488,0,"relative convergence (4)",523.149504210697,523.363789924983,59,"FULL",0.4,8,0.986061717265902,149.584957429419
"weibull",1.80664144404388,39.1960990803349,0,"relative convergence (4)",340.451442966695,340.784776300028,39,"FULL",0.6,8,0.995620437820311,65.2859237625766
"weibull",1.76925117758653,43.5298079456577,0,"relative convergence (4)",587.551359085639,587.707203241483,80,"RP",0.7,8,0.0674977410343212,1693.17835729647
"llog",0.411076109983374,3.59427159665587,0,"relative convergence (4)",195.693394349175,196.21513347961,26,"RP",0.9,8,0.0472458721341379,611.458474231762
"weibull",1.81235365290934,43.1424799274731,0,"relative convergence (4)",486.579910626277,486.810679857046,55,"FULL",0.4,9,0.989833010539767,138.912320094295
"weibull",1.52633156052902,40.364947880648,0,"relative convergence (4)",241.371056483191,241.871056483191,27,"FULL",0.6,9,0.981567334873179,45.8450463877897
"gamma",2.71690803601099,0.087965781838369,0,"relative convergence (4)",490.322587270577,490.499057858813,71,"RP",0.7,9,0.0765835226961103,1324.41767964955
"gamma",1.46777949980184,0.0185913043534146,0,"relative convergence (4)",195.795311877706,196.256850339245,29,"RP",0.9,9,0.0524874037863802,613.903906418467
"llog",0.483170009552977,3.51991233225243,0,"relative convergence (4)",450.463285217587,450.713285217587,51,"FULL",0.4,10,0.904315334116706,140.99064252243
"llog",0.383163026023622,3.27070225253329,0,"relative convergence (4)",277.833697523033,278.233697523033,33,"FULL",0.6,10,0.970193470339386,56.6897239380104
"gamma",2.44876926905576,0.0768811847772947,0,"relative convergence (4)",584.060331393667,584.203188536524,87,"RP",0.7,10,0.0822963291466617,1510.22184797845
"gamma",2.26817571610746,0.0600689240166233,0,"relative convergence (4)",169.673998315052,170.245426886481,24,"RP",0.9,10,0.0712858721464586,374.08066793206
"norm",24.7899009578698,40.1811286679765,0,"relative convergence (4)",510.138180952275,510.364596046614,56,"FULL",0.4,11,0.700748654168204,199.786327333274
"llog",0.376010311898735,3.50432539283542,0,"relative convergence (4)",235.768116248288,236.268116248288,27,"FULL",0.6,11,0.949198806187159,47.4084034942697
"gamma",2.16928302472665,0.0526859799455649,0,"relative convergence (4)",545.160932098257,545.318826835099,79,"RP",0.7,11,0.0670570131099658,1683.00283032395
"llog",0.495004159115221,3.55956013859745,0,"relative convergence (4)",317.144002752529,317.429717038243,45,"RP",0.9,11,0.0650582996595675,768.541450693247
"llog",0.532593143606993,3.76758075707678,0,"relative convergence (4)",541.722672313339,541.933198629129,60,"FULL",0.4,12,0.828162881380069,181.123790225948
