"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",7.24713810096044,0.146445670823484,0,"relative convergence (4)",105.482389158911,106.815722492244,12,"FULL",0.4,11,0.98810638899648,30.3611031505099
"llog",0.382472421405566,3.25106140132559,0,"relative convergence (4)",54.3844647088388,58.3844647088388,6,"FULL",0.6,11,0.971815915282974,10.2900146444794
"gamma",3.83813168222463,0.171906324175366,0,"relative convergence (4)",46.3310861921143,49.3310861921143,7,"RP",0.7,11,0.0891347227911635,112.189724574892
"llog",0.436268165713058,3.32161176275501,0,"relative convergence (4)",72.5754315775927,74.2897172918784,10,"RP",0.9,11,0.0752456420892241,147.664513221056
"llog",0.341325290429681,3.44417392251143,0,"relative convergence (4)",156.279423080632,157.079423080632,18,"FULL",0.4,12,0.96774939586829,46.4996415312921
"llog",0.298375786544333,3.73049504610193,0,"relative convergence (4)",98.9565960621542,100.456596062154,11,"FULL",0.6,12,0.94937963681281,19.3108558709777
"weibull",1.97692672965406,41.0891021426198,0,"relative convergence (4)",109.166669498712,110.257578589621,14,"RP",0.7,12,0.060711465707642,329.427065660227
"weibull",2.30420294132122,36.3938836098532,0,"relative convergence (4)",55.4850055722145,58.4850055722145,7,"RP",0.9,12,0.0567088026014248,137.152918435671
"gamma",10.734603664608,0.325289731322722,0,"relative convergence (4)",92.7257407559843,94.0590740893176,12,"FULL",0.4,13,0.999997173553656,30.00008479363
"gamma",3.8584753020281,0.0973721181855134,0,"relative convergence (4)",55.354371322434,59.354371322434,6,"FULL",0.6,13,0.989378890071521,10.1073512891276
"gamma",4.11486069055629,0.118877264559956,0,"relative convergence (4)",124.422939698534,125.346016621611,16,"RP",0.7,13,0.0435489996608156,524.860342032362
"weibull",4.33416743102283,24.2167357603043,0,"X-convergence (3)",48.9931583426009,51.9931583426009,7,"RP",0.9,13,0.0503997089798876,154.321878741037
"weibull",2.88209305684525,34.2469341095503,0,"relative convergence (4)",127.942150315072,128.865227238149,16,"FULL",0.4,14,0.999999999704207,40.0000000118317
"gamma",1.8711065155943,0.0341615461490625,0,"relative convergence (4)",103.545023086794,105.045023086794,11,"FULL",0.6,14,0.874556225472464,20.9630127822017
"weibull",2.09752649818714,38.8604995368661,0,"relative convergence (4)",85.7768639918993,87.2768639918993,11,"RP",0.7,14,0.059594527236943,263.686724987464
"weibull",2.69340206566939,24.8501277625663,0,"relative convergence (4)",37.9391875988731,43.9391875988731,5,"RP",0.9,14,0.0778251424753312,71.3850997101167
"llog",0.429275866467902,3.24856928244875,0,"relative convergence (4)",72.0948193639929,74.4948193639929,8,"FULL",0.4,15,0.959309055257316,20.8483385936927
"norm",38.4395599742287,18.1617744987632,0,"relative convergence (4)",89.0502362191976,90.7645219334833,10,"FULL",0.6,15,0.982499208228542,16.963542084392
"weibull",2.41706077112142,44.1165899806375,0,"relative convergence (4)",83.8819458661536,85.5962315804393,10,"RP",0.7,15,0.0414214355878835,344.886991070225
"gamma",2.56163443986216,0.0466367225439896,0,"relative convergence (4)",38.0864678512314,50.0864678512314,4,"RP",0.9,15,0.036598760884677,121.437019642521
"gamma",2.63079457368209,0.0579102174055346,0,"relative convergence (4)",110.487177320549,111.820510653882,12,"FULL",0.4,16,0.952024721654641,31.5117867400116
"norm",28.3817585510366,17.4429680918728,0,"relative convergence (4)",78.3993960955792,80.3993960955792,9,"FULL",0.6,16,0.948123785621836,15.820719011033
"gamma",2.46013597025218,0.0465327673083228,0,"relative convergence (4)",136.894941625966,137.752084483109,17,"RP",0.7,16,0.0405819259472264,598.436710896765
"gamma",3.11123064321427,0.122542369191922,0,"relative convergence (4)",30.6456608069681,42.6456608069681,4,"RP",0.9,16,0.0887964963498904,50.0520248786812
