"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"llog",0.551720931284762,3.61793048026799,0,"relative convergence (4)",589.610175988983,589.756517452398,85,"RP",0.9,4,0.0714722481184919,1321.41421223896
"weibull",1.86038137764779,50.8179707013946,0,"relative convergence (4)",1130.48240033714,1130.57996131275,126,"FULL",0.4,5,0.970490968692656,324.57798182742
"weibull",1.43458903327889,49.7165230144791,0,"relative convergence (4)",742.476078573792,742.627977307969,82,"FULL",0.6,5,0.934466213573477,146.251051864189
"llog",0.599868360092041,3.97174965837741,0,"relative convergence (4)",1275.36081802235,1275.42823375269,181,"RP",0.7,5,0.0526297360566666,4913.02917219695
"gamma",1.68024000992095,0.0351178639550386,0,"relative convergence (4)",560.737773931402,560.884115394816,85,"RP",0.9,5,0.0777106051828732,1215.33533579094
"norm",36.5180725589122,26.4319110073607,0,"relative convergence (4)",1161.25019578758,1161.34468397655,130,"FULL",0.4,6,0.908292037494922,357.814432565492
"gamma",1.68284772709016,0.0368205825721553,0,"relative convergence (4)",747.438558596319,747.588558596319,83,"FULL",0.6,6,0.92057933904411,150.267692817191
"llog",0.554428773885733,3.62072284778031,0,"relative convergence (4)",1196.69660607838,1196.76557159563,177,"RP",0.7,6,0.0717788134772021,3522.72670176491
"gamma",1.92968688805921,0.0472521193362534,0,"relative convergence (4)",579.027886170343,579.174227633758,85,"RP",0.9,6,0.0787213701292575,1199.73069941961
"norm",27.7859523941724,36.1467369286461,0,"relative convergence (4)",1193.14713120693,1193.24015446274,132,"FULL",0.4,7,0.756094895022266,436.453151810107
"llog",0.654638220998807,3.9218020383141,0,"relative convergence (4)",664.025479678509,664.196908249937,73,"FULL",0.6,7,0.739599255524016,164.503500724138
"gamma",1.86742625979985,0.0371726044241344,0,"relative convergence (4)",1014.26577671734,1014.35149100305,143,"RP",0.7,7,0.0631034861619922,3237.31265434837
"norm",39.3194141593756,24.7723380267286,0,"relative convergence (4)",740.790607137705,740.910607137705,103,"RP",0.9,7,0.0632047982030792,1810.69234770326
"gamma",2.24334748314373,0.0516334520644092,0,"relative convergence (4)",1193.84788491035,1193.93948796379,134,"FULL",0.4,8,0.951175321473695,352.195849111151
"weibull",1.60004923876253,42.0028521145936,0,"relative convergence (4)",779.29259216998,779.433768640568,88,"FULL",0.6,8,0.98180426088813,149.384834135873
"gamma",1.95815161523215,0.0487079525843194,0,"relative convergence (4)",1170.01196679937,1170.08297271653,172,"RP",0.7,8,0.0788322256063335,3116.92691439812
"weibull",1.56262542096122,44.8841120126807,0,"relative convergence (4)",626.631269936153,626.764603269487,93,"RP",0.9,8,0.0800912409406521,1290.19518388913
"llog",0.514007979923581,3.73949685367914,0,"relative convergence (4)",1245.36850604762,1245.45674134173,139,"FULL",0.4,9,0.843455022810465,411.995886682967
"weibull",1.80488028774013,46.4724906245151,0,"relative convergence (4)",721.999321638503,722.153167792349,81,"FULL",0.6,9,0.981449001968504,137.551721718835
"gamma",2.00177987493182,0.0394580428849946,0,"relative convergence (4)",1228.00546094216,1228.07646685932,172,"RP",0.7,9,0.0565368883846443,4346.08788588766
"gamma",1.43970973955043,0.0174591876870457,0,"relative convergence (4)",700.40814389827,700.530592877862,101,"RP",0.9,9,0.0515550046408233,2176.74739831873
"weibull",1.50617251091411,45.8914320457066,0,"relative convergence (4)",968.723581590641,968.837867304927,108,"FULL",0.4,10,0.960527177205077,281.095638319824
"llog",0.616280897925047,3.90912282641489,0,"relative convergence (4)",835.749143788523,835.883975249197,92,"FULL",0.6,10,0.75573405921885,202.893241958452
"gamma",1.80484577618483,0.0374792908208979,0,"relative convergence (4)",1202.84180124888,1202.91076676612,177,"RP",0.7,10,0.0698298478627791,3621.04673855263
"gamma",2.07098834120623,0.0493987904322254,0,"relative convergence (4)",638.124196517507,638.260560153871,91,"RP",0.9,10,0.0694660826736556,1455.54646554809
"llog",0.645236305261756,4.1570715764556,0,"relative convergence (4)",1097.1709639888,1097.27352809136,120,"FULL",0.4,11,0.666961027346026,449.801394234024
"llog",0.603933445578682,3.88677205521936,0,"relative convergence (4)",753.178794970864,753.328794970864,83,"FULL",0.6,11,0.766657343875255,180.436976751692
"gamma",2.07514394531959,0.0494639748357018,0,"relative convergence (4)",1238.356351606,1238.42531712324,177,"RP",0.7,11,0.0692242618725544,3652.72429083702
