"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"weibull",1.6601266439306,42.0255889507909,0,"relative convergence (4)",847.988312863482,848.117345121546,96,"FULL",0.6,16,0.985258790401461,162.393882255854
"gamma",2.29530984482456,0.0605962915211292,0,"relative convergence (4)",1225.26009594957,1225.32906146681,177,"RP",0.7,16,0.0699610027446702,3614.25841450516
"gamma",2.24373389578991,0.0565795471493659,0,"relative convergence (4)",566.651831920661,566.805678074508,81,"RP",0.9,16,0.0676064555291686,1331.23381924925
"weibull",1.72374664939777,45.7264745353924,0,"relative convergence (4)",1130.5952605199,1130.69203471345,127,"FULL",0.4,17,0.978781324150546,324.382977245248
"weibull",1.41414937256645,44.6573467055801,0,"relative convergence (4)",744.202493522943,744.352493522942,83,"FULL",0.6,17,0.956143221538555,144.678464708182
"llog",0.496542881405632,3.67013122396652,0,"relative convergence (4)",1310.89658234456,1310.96437895473,180,"RP",0.7,17,0.0563131348707395,4566.30336302711
"gamma",2.35517888202731,0.0761223581564121,0,"relative convergence (4)",568.734580683049,568.879158996302,86,"RP",0.9,17,0.0895114760319853,1067.52295673697
"llog",0.467158726434446,3.58933798398681,0,"relative convergence (4)",1182.46502780474,1182.55663085817,134,"FULL",0.4,18,0.897935243771543,373.078128209914
"gamma",2.11437320285911,0.048889499458229,0,"relative convergence (4)",741.732785101742,741.882785101742,83,"FULL",0.6,18,0.948380578347836,145.86268054363
"gamma",2.35943305019396,0.0763025578860051,0,"both X-convergence and relative convergence (5)",1089.75987079591,1089.83394486998,165,"RP",0.7,18,0.0893994238608667,2636.64211171126
"gamma",2.31845260624622,0.0760310532891459,0,"relative convergence (4)",607.04315145606,607.175019587928,94,"RP",0.9,18,0.0929280690966914,1123.92784504938
"llog",0.46120891587861,3.63716918561349,0,"relative convergence (4)",1063.31432741585,1063.41689151841,120,"FULL",0.4,19,0.890789807948054,336.779784998948
"llog",0.592741266159182,3.68613401823835,0,"relative convergence (4)",735.4507248771,735.602623611277,82,"FULL",0.6,19,0.824983703045893,165.659838081752
"gamma",2.21516761553343,0.0635730062484629,0,"relative convergence (4)",1350.88769474745,1350.94891923724,199,"RP",0.7,19,0.0817441399220885,3477.75038744883
"gamma",2.08288545958153,0.0604460895196432,0,"relative convergence (4)",584.684953683975,584.824488567696,89,"RP",0.9,19,0.0892512297947563,1107.98348791715
"gamma",2.03764207728328,0.0556058385457442,0,"relative convergence (4)",1270.0534114387,1270.13791848095,145,"FULL",0.4,20,0.973341423927741,372.428411129568
"llog",0.592433098592238,3.50027013433137,0,"relative convergence (4)",813.14332837149,813.278159832164,92,"FULL",0.6,20,0.865881090597154,177.083591498213
"gamma",2.41332266810471,0.0749440390583536,0,"relative convergence (4)",1174.52636980658,1174.59695804187,173,"RP",0.7,20,0.08240606248222,2999.08586454038
"gamma",2.31415668420266,0.0670938758048705,0,"relative convergence (4)",666.118979327134,666.248011585199,96,"RP",0.9,20,0.0787084902946767,1355.21169656942
"weibull",1.79767308279724,43.5754049472502,0,"relative convergence (4)",1337.87061454029,1337.95115145304,152,"FULL",0.4,21,0.988341279055532,384.482575050524
"llog",0.527958636202658,3.7273875019688,0,"relative convergence (4)",790.049377788866,790.190554259455,88,"FULL",0.6,21,0.840586372192917,174.481375761593
"gamma",2.18895170711906,0.0528880730200623,0,"relative convergence (4)",1170.33166322855,1170.40439050127,168,"RP",0.7,21,0.065833630169714,3645.55318279272
"gamma",2.49796011410169,0.0771207785659822,0,"relative convergence (4)",671.682706314859,671.810365889327,97,"RP",0.9,21,0.0786042961004907,1371.1436031434
"llog",0.510877075951677,3.63583388530032,0,"relative convergence (4)",1067.62186348565,1067.72442758822,120,"FULL",0.4,22,0.869596560277726,344.987565158018
"llog",0.61918261426156,3.62784457590484,0,"relative convergence (4)",759.239597316028,759.385938779443,85,"FULL",0.6,22,0.828979579069028,170.892830467263
"gamma",2.20056875854063,0.0681560380767871,0,"relative convergence (4)",1334.9775813251,1335.03698726569,205,"RP",0.7,22,0.0912447416796887,3209.57829970309
"weibull",1.81029620598423,41.4205088406248,0,"relative convergence (4)",652.364883646359,652.502814680842,90,"RP",0.9,22,0.0691924474853759,1445.24443973651
"weibull",1.69569381542716,39.4061599832956,0,"relative convergence (4)",1168.26279568778,1168.35439874122,134,"FULL",0.4,23,0.992176664488202,337.641482601089
"llog",0.433159009429708,3.46085354603172,0,"relative convergence (4)",816.546703263105,816.678571394973,94,"FULL",0.6,23,0.93350337996779,167.826566061359
