"distn","param1","param2","code","message","aic","aicc","n","plotType","piHat","rep","AC","nHat"
"gamma",3.28725344240233,0.111070183107363,0,"relative convergence (4)",825.609624692255,825.715819382521,116,"RP",0.7,4,0.0667384087866414,2483.04220503764
"gamma",3.49133401835616,0.0981934947433782,0,"relative convergence (4)",383.132763298675,383.393632863893,49,"RP",0.9,4,0.0482825731832969,1127.62102048197
"llog",0.408760460847826,3.5654630226894,0,"relative convergence (4)",1084.66537406698,1084.7645476207,124,"FULL",0.4,5,0.927139743617707,334.361677550762
"gamma",3.18860459175937,0.0850561128205111,0,"relative convergence (4)",690.882207090439,691.038051246284,80,"FULL",0.6,5,0.988165225205389,134.930201885641
"gamma",3.09199898213279,0.0933917294308449,0,"relative convergence (4)",775.177673056109,775.295320114932,105,"RP",0.7,5,0.0603077515703414,2487.24245381697
"llog",0.329332348169657,3.20597127781795,0,"relative convergence (4)",402.951063860969,403.181833091738,55,"RP",0.9,5,0.0622826009849944,981.190736170997
"weibull",1.92418840213921,39.2317265525306,0,"relative convergence (4)",1209.76340382386,1209.8503603456,141,"FULL",0.4,6,0.997647479891579,353.331218797153
"llog",0.403362764226575,3.46186395004461,0,"relative convergence (4)",647.986684291672,648.153350958339,75,"FULL",0.6,6,0.944508599752396,132.343951164414
"gamma",2.77317071483582,0.0686933656836038,0,"relative convergence (4)",888.054922413417,888.160185571312,117,"RP",0.7,6,0.051216565218819,3263.45307282422
"gamma",3.58528609491833,0.117254202437233,0,"relative convergence (4)",493.140253635572,493.330729826048,66,"RP",0.9,6,0.0584477729518182,1254.68139553899
"llog",0.390590437015041,3.38184372927486,0,"relative convergence (4)",1003.56542433458,1003.66977216067,118,"FULL",0.4,7,0.958193297332951,307.871074470159
"gamma",2.89572892698078,0.0793732180363513,0,"relative convergence (4)",803.448905667442,803.582239000775,93,"FULL",0.6,7,0.987397138464737,156.978376746162
"gamma",3.62281565302803,0.127013359427332,0,"relative convergence (4)",801.190937358463,801.301029101582,112,"RP",0.7,7,0.0641513098109724,2494.10340134058
"weibull",2.18507884062847,42.9287375879343,0,"relative convergence (4)",470.20482711302,470.41535342881,60,"RP",0.9,7,0.0492725975811876,1353.0170914334
"llog",0.452367170944914,3.61830591323637,0,"relative convergence (4)",1158.15089378866,1158.24464378866,131,"FULL",0.4,8,0.898580954648822,364.463544776543
"llog",0.432448634419136,3.47356987678677,0,"relative convergence (4)",722.324285042176,722.474285042176,83,"FULL",0.6,8,0.931930415935091,148.437405806238
"llog",0.375739839704366,3.5327543151717,0,"relative convergence (4)",876.035817206742,876.144908115833,113,"RP",0.7,8,0.0458323904964731,3522.15037618414
"gamma",2.47084439092649,0.0568078642772594,0,"relative convergence (4)",543.04501421705,543.216442788478,73,"RP",0.9,8,0.0528793224781511,1533.89089174932
